preverb,verb,grammatical,ungrammatical,grammatical_context,ungrammatical_context,grammatical_context_adverb,ungrammatical_context_adverb,grammatical_context_adverb2,ungrammatical_context_adverb2
meg,választottak,Nem választottak meg,Nem megválasztottak,Nem választottak meg új elnöknek,Nem megválasztottak új elnöknek,Nem mindenáron választottak meg új elnöknek,Nem mindenáron megválasztottak új elnöknek,Nem mindenáron túl választottak meg új elnöknek,Nem mindenáron túl megválasztottak új elnöknek
be,ül,Nem ül be,Nem beül,Nem ül be a kicsi autóba,Nem beül a kicsi autóba,Nem okvetlenül ül be a kicsi autóba,Nem okvetlenül beül a kicsi autóba,Nem okvetlenül túl ül be a kicsi autóba,Nem okvetlenül túl beül a kicsi autóba
be,következett,Nem következett be,Nem bekövetkezett,Nem következett be nagy változás,Nem bekövetkezett nagy változás,Nem azonnal következett be nagy változás,Nem azonnal bekövetkezett nagy változás,Nem azonnal túl következett be nagy változás,Nem azonnal túl bekövetkezett nagy változás
el,követtek,Nem követtek el,Nem elkövettek,Nem követtek el súlyos bűnt,Nem elkövettek súlyos bűnt,Nem okvetlenül követtek el súlyos bűnt,Nem okvetlenül elkövettek súlyos bűnt,Nem okvetlenül túl követtek el súlyos bűnt,Nem okvetlenül túl elkövettek súlyos bűnt
össze,húzná,Nem húzná össze,Nem összehúzná,Nem húzná össze a sűrű szemöldökét,Nem összehúzná a sűrű szemöldökét,Nem ilyenkor húzná össze a sűrű szemöldökét,Nem ilyenkor összehúzná a sűrű szemöldökét,Nem ilyenkor túl húzná össze a sűrű szemöldökét,Nem ilyenkor túl összehúzná a sűrű szemöldökét
fel,kell,Nem kell fel,Nem felkell,Nem kell fel sürgősen hívnia,Nem felkell sürgősen hívnia,Nem mindenáron kell fel sürgősen hívnia,Nem mindenáron felkell sürgősen hívnia,Nem mindenáron túl kell fel sürgősen hívnia,Nem mindenáron túl felkell sürgősen hívnia
meg,tapasztalja,Nem tapasztalja meg,Nem megtapasztalja,Nem tapasztalja meg a nagy változást,Nem megtapasztalja a nagy változást,Nem mindenképpen tapasztalja meg a nagy változást,Nem mindenképpen megtapasztalja a nagy változást,Nem mindenképpen túl tapasztalja meg a nagy változást,Nem mindenképpen túl megtapasztalja a nagy változást
el,ment,Nem ment el,Nem elment,Nem ment el a nagy buliba,Nem elment a nagy buliba,Nem azonnal ment el a nagy buliba,Nem azonnal elment a nagy buliba,Nem azonnal túl ment el a nagy buliba,Nem azonnal túl elment a nagy buliba
ki,hoztak,Nem hoztak ki,Nem kihoztak,Nem hoztak ki a nagy szemetet,Nem kihoztak a nagy szemetet,Nem azután hoztak ki a nagy szemetet,Nem azután kihoztak a nagy szemetet,Nem azután túl hoztak ki a nagy szemetet,Nem azután túl kihoztak a nagy szemetet
vissza,üssem,Ne üssem vissza,Ne visszaüssem,Ne üssem vissza a kemény labdát,Ne visszaüssem a kemény labdát,Ne aznap üssem vissza a kemény labdát,Ne aznap visszaüssem a kemény labdát,Ne aznap túl üssem vissza a kemény labdát,Ne aznap túl visszaüssem a kemény labdát
össze,ismerkedtem,Nem ismerkedtem össze,Nem összeismerkedtem,Nem ismerkedtem össze sok új emberrel,Nem összeismerkedtem sok új emberrel,Nem csaknem ismerkedtem össze sok új emberrel,Nem csaknem összeismerkedtem sok új emberrel,Nem csaknem túl ismerkedtem össze sok új emberrel,Nem csaknem túl összeismerkedtem sok új emberrel
fel,szólították,Nem szólították fel,Nem felszólították,Nem szólították fel a fő színpadra,Nem felszólították a fő színpadra,Nem aznap szólították fel a fő színpadra,Nem aznap felszólították a fő színpadra,Nem aznap túl szólították fel a fő színpadra,Nem aznap túl felszólították a fő színpadra
tovább,gondolják,Nem gondolják tovább,Nem továbbgondolják,Nem gondolják tovább a komoly problémát,Nem továbbgondolják a komoly problémát,Nem mindenesetre gondolják tovább a komoly problémát,Nem mindenesetre továbbgondolják a komoly problémát,Nem mindenesetre túl gondolják tovább a komoly problémát,Nem mindenesetre túl továbbgondolják a komoly problémát
ki,térhet,Nem térhet ki,Nem kitérhet,Nem térhet ki a teljes felelősség elől,Nem kitérhet a teljes felelősség elől,Nem akkor térhet ki a teljes felelősség elől,Nem akkor kitérhet a teljes felelősség elől,Nem akkor túl térhet ki a teljes felelősség elől,Nem akkor túl kitérhet a teljes felelősség elől
ki,mozdulhattak,Nem mozdulhattak ki,Nem kimozdulhattak,Nem mozdulhattak ki a kis szobából,Nem kimozdulhattak a kis szobából,Nem aztán mozdulhattak ki a kis szobából,Nem aztán kimozdulhattak a kis szobából,Nem aztán túl mozdulhattak ki a kis szobából,Nem aztán túl kimozdulhattak a kis szobából
újra,osszák,Ne osszák újra,Ne újraosszák,Ne osszák újra az összes kártyákat,Ne újraosszák az összes kártyákat,Ne okvetlenül osszák újra az összes kártyákat,Ne okvetlenül újraosszák az összes kártyákat,Ne okvetlenül túl osszák újra az összes kártyákat,Ne okvetlenül túl újraosszák az összes kártyákat
bele,illene,Nem illene bele,Nem beleillene,Nem illene bele az új társaságba,Nem beleillene az új társaságba,Nem időközben illene bele az új társaságba,Nem időközben beleillene az új társaságba,Nem időközben túl illene bele az új társaságba,Nem időközben túl beleillene az új társaságba
el,fogadott,Nem fogadott el,Nem elfogadott,Nem fogadott el új állást,Nem elfogadott új állást,Nem mindenképpen fogadott el új állást,Nem mindenképpen elfogadott új állást,Nem mindenképpen túl fogadott el új állást,Nem mindenképpen túl elfogadott új állást
meg,tanul,Nem tanul meg,Nem megtanul,Nem tanul meg egy nehéz új nyelvet,Nem megtanul egy nehéz új nyelvet,Nem hiába tanul meg egy nehéz új nyelvet,Nem hiába megtanul egy nehéz új nyelvet,Nem hiába túl tanul meg egy nehéz új nyelvet,Nem hiába túl megtanul egy nehéz új nyelvet
le,siklik,Nem siklik le,Nem lesiklik,Nem siklik le a meredek tetőről,Nem lesiklik a meredek tetőről,Nem csaknem siklik le a meredek tetőről,Nem csaknem lesiklik a meredek tetőről,Nem csaknem túl siklik le a meredek tetőről,Nem csaknem túl lesiklik a meredek tetőről
vissza,térnek,Nem térnek vissza,Nem visszatérnek,Nem térnek vissza a kedves régi helyre,Nem visszatérnek a kedves régi helyre,Nem mindig térnek vissza a kedves régi helyre,Nem mindig visszatérnek a kedves régi helyre,Nem mindig túl térnek vissza a kedves régi helyre,Nem mindig túl visszatérnek a kedves régi helyre
meg,tudtuk,Nem tudtuk meg,Nem megtudtuk,Nem tudtuk meg a szomorú hírt,Nem megtudtuk a szomorú hírt,Nem akkor tudtuk meg a szomorú hírt,Nem akkor megtudtuk a szomorú hírt,Nem akkor túl tudtuk meg a szomorú hírt,Nem akkor túl megtudtuk a szomorú hírt
el,juttatott,Nem juttatott el,Nem eljuttatott,Nem juttatott el a végső célhoz,Nem eljuttatott a végső célhoz,Nem véletlenül juttatott el a végső célhoz,Nem véletlenül eljuttatott a végső célhoz,Nem véletlenül túl juttatott el a végső célhoz,Nem véletlenül túl eljuttatott a végső célhoz
meg,célozta,Nem célozta meg,Nem megcélozta,Nem célozta meg a pontos célt,Nem megcélozta a pontos célt,Nem este célozta meg a pontos célt,Nem este megcélozta a pontos célt,Nem este túl célozta meg a pontos célt,Nem este túl megcélozta a pontos célt
le,zárja,Nem zárja le,Nem lezárja,Nem zárja le a kis boltot,Nem lezárja a kis boltot,Nem mindenáron zárja le a kis boltot,Nem mindenáron lezárja a kis boltot,Nem mindenáron túl zárja le a kis boltot,Nem mindenáron túl lezárja a kis boltot
el,hangzott,Nem hangzott el,Nem elhangzott,Nem hangzott el egyetlen szó,Nem elhangzott egyetlen szó,Nem mindenütt hangzott el egyetlen szó,Nem mindenütt elhangzott egyetlen szó,Nem mindenütt túl hangzott el egyetlen szó,Nem mindenütt túl elhangzott egyetlen szó
föl,avatta,Nem avatta föl,Nem fölavatta,Nem avatta föl az új szobrot,Nem fölavatta az új szobrot,Nem mindig avatta föl az új szobrot,Nem mindig fölavatta az új szobrot,Nem mindig túl avatta föl az új szobrot,Nem mindig túl fölavatta az új szobrot
el,érte,Nem érte el,Nem elérte,Nem érte el a magas csúcsot,Nem elérte a magas csúcsot,Nem aznap érte el a magas csúcsot,Nem aznap elérte a magas csúcsot,Nem aznap túl érte el a magas csúcsot,Nem aznap túl elérte a magas csúcsot
utol,érhet,Nem érhet utol,Nem utolérhet,Nem érhet utol a gyors versenytársát,Nem utolérhet a gyors versenytársát,Nem csaknem érhet utol a gyors versenytársát,Nem csaknem utolérhet a gyors versenytársát,Nem csaknem túl érhet utol a gyors versenytársát,Nem csaknem túl utolérhet a gyors versenytársát
ki,nevezte,Nem nevezte ki,Nem kinevezte,Nem nevezte ki új helyettesét,Nem kinevezte új helyettesét,Nem mindenáron nevezte ki új helyettesét,Nem mindenáron kinevezte új helyettesét,Nem mindenáron túl nevezte ki új helyettesét,Nem mindenáron túl kinevezte új helyettesét
fel,hangzik,Nem hangzik fel,Nem felhangzik,Nem hangzik fel a szép dal,Nem felhangzik a szép dal,Nem akkor hangzik fel a szép dal,Nem akkor felhangzik a szép dal,Nem akkor túl hangzik fel a szép dal,Nem akkor túl felhangzik a szép dal
be,valljuk,Ne valljuk be,Ne bevalljuk,Ne valljuk be a nagy hibát,Ne bevalljuk a nagy hibát,Ne mindenáron valljuk be a nagy hibát,Ne mindenáron bevalljuk a nagy hibát,Ne mindenáron túl valljuk be a nagy hibát,Ne mindenáron túl bevalljuk a nagy hibát
meg,operálták,Nem operálták meg,Nem megoperálták,Nem operálták meg a súlyos beteget,Nem megoperálták a súlyos beteget,Nem holnap operálták meg a súlyos beteget,Nem holnap megoperálták a súlyos beteget,Nem holnap túl operálták meg a súlyos beteget,Nem holnap túl megoperálták a súlyos beteget
el,hagyjuk,Nem hagyjuk el,Nem elhagyjuk,Nem hagyjuk el a szülővárost,Nem elhagyjuk a szülővárost,Nem okvetlenül hagyjuk el a szülővárost,Nem okvetlenül elhagyjuk a szülővárost,Nem okvetlenül túl hagyjuk el a szülővárost,Nem okvetlenül túl elhagyjuk a szülővárost
be,töltik,Nem töltik be,Nem betöltik,Nem töltik be a fontos pozíciót,Nem betöltik a fontos pozíciót,Nem igazán töltik be a fontos pozíciót,Nem igazán betöltik a fontos pozíciót,Nem igazán túl töltik be a fontos pozíciót,Nem igazán túl betöltik a fontos pozíciót
ki,választhatják,Nem választhatják ki,Nem kiválaszthatják,Nem választhatják ki a legjobb jelöltet,Nem kiválaszthatják a legjobb jelöltet,Nem igazán választhatják ki a legjobb jelöltet,Nem igazán kiválaszthatják a legjobb jelöltet,Nem igazán túl választhatják ki a legjobb jelöltet,Nem igazán túl kiválaszthatják a legjobb jelöltet
el,adott,Nem adott el,Nem eladott,Nem adott el nagy házat,Nem eladott nagy házat,Nem ott adott el nagy házat,Nem ott eladott nagy házat,Nem ott túl adott el nagy házat,Nem ott túl eladott nagy házat
jóvá,hagyta,Nem hagyta jóvá,Nem jóváhagyta,Nem hagyta jóvá a fontos döntést,Nem jóváhagyta a fontos döntést,Nem igazából hagyta jóvá a fontos döntést,Nem igazából jóváhagyta a fontos döntést,Nem igazából túl hagyta jóvá a fontos döntést,Nem igazából túl jóváhagyta a fontos döntést
alá,helyezi,Nem helyezi alá,Nem aláhelyezi,Nem helyezi alá a papírokat,Nem aláhelyezi a papírokat,Nem mindjárt helyezi alá a papírokat,Nem mindjárt aláhelyezi a papírokat,Nem mindjárt túl helyezi alá a papírokat,Nem mindjárt túl aláhelyezi a papírokat
alá,köti,Nem köti alá,Nem aláköti,Nem köti alá a szerződést,Nem aláköti a szerződést,Nem este köti alá a szerződést,Nem este aláköti a szerződést,Nem este túl köti alá a szerződést,Nem este túl aláköti a szerződést
alá,bocsátja,Nem bocsátja alá,Nem alábocsátja,Nem bocsátja alá a jelentést,Nem alábocsátja a jelentést,Nem véletlenül bocsátja alá a jelentést,Nem véletlenül alábocsátja a jelentést,Nem véletlenül túl bocsátja alá a jelentést,Nem véletlenül túl alábocsátja a jelentést
alá,rendeli,Nem rendeli alá,Nem alárendeli,Nem rendeli alá a vállalatot,Nem alárendeli a vállalatot,Nem hiába rendeli alá a vállalatot,Nem hiába alárendeli a vállalatot,Nem hiába túl rendeli alá a vállalatot,Nem hiába túl alárendeli a vállalatot
alá,szegi,Nem szegi alá,Nem alászegi,Nem szegi alá a szabályt,Nem alászegi a szabályt,Nem igazán szegi alá a szabályt,Nem igazán alászegi a szabályt,Nem igazán túl szegi alá a szabályt,Nem igazán túl alászegi a szabályt
alá,hajol,Nem hajol alá,Nem aláhajol,Nem hajol alá a nyomásnak,Nem aláhajol a nyomásnak,Nem azonnal hajol alá a nyomásnak,Nem azonnal aláhajol a nyomásnak,Nem azonnal túl hajol alá a nyomásnak,Nem azonnal túl aláhajol a nyomásnak
alá,teszi,Nem teszi alá,Nem aláteszi,Nem teszi alá a könyvet,Nem aláteszi a könyvet,Nem először teszi alá a könyvet,Nem először aláteszi a könyvet,Nem először túl teszi alá a könyvet,Nem először túl aláteszi a könyvet
föl,nézi,Nem nézi föl,Nem fölnézi,Nem nézi föl a számokat,Nem fölnézi a számokat,Nem ezért nézi föl a számokat,Nem ezért fölnézi a számokat,Nem ezért túl nézi föl a számokat,Nem ezért túl fölnézi a számokat
föl,hívja,Nem hívja föl,Nem fölhívja,Nem hívja föl az ügyfelet,Nem fölhívja az ügyfelet,Nem akkor hívja föl az ügyfelet,Nem akkor fölhívja az ügyfelet,Nem akkor túl hívja föl az ügyfelet,Nem akkor túl fölhívja az ügyfelet
föl,kapja,Nem kapja föl,Nem fölkapja,Nem kapja föl a labdát,Nem fölkapja a labdát,Nem bármikor kapja föl a labdát,Nem bármikor fölkapja a labdát,Nem bármikor túl kapja föl a labdát,Nem bármikor túl fölkapja a labdát
föl,írja,Nem írja föl,Nem fölírja,Nem írja föl a telefonszámot,Nem fölírja a telefonszámot,Nem emiatt írja föl a telefonszámot,Nem emiatt fölírja a telefonszámot,Nem emiatt túl írja föl a telefonszámot,Nem emiatt túl fölírja a telefonszámot
föl,találja,Nem találja föl,Nem föltalálja,Nem találja föl a megoldást,Nem föltalálja a megoldást,Nem igazából találja föl a megoldást,Nem igazából föltalálja a megoldást,Nem igazából túl találja föl a megoldást,Nem igazából túl föltalálja a megoldást
föl,fedi,Nem fedi föl,Nem fölfedi,Nem fedi föl a titkot,Nem fölfedi a titkot,Nem este fedi föl a titkot,Nem este fölfedi a titkot,Nem este túl fedi föl a titkot,Nem este túl fölfedi a titkot
föl,emeli,Nem emeli föl,Nem fölemeli,Nem emeli föl a súlyt,Nem fölemeli a súlyt,Nem véletlenül emeli föl a súlyt,Nem véletlenül fölemeli a súlyt,Nem véletlenül túl emeli föl a súlyt,Nem véletlenül túl fölemeli a súlyt
föl,hozza,Nem hozza föl,Nem fölhozza,Nem hozza föl a témát,Nem fölhozza a témát,Nem aznap hozza föl a témát,Nem aznap fölhozza a témát,Nem aznap túl hozza föl a témát,Nem aznap túl fölhozza a témát
közzé,hozza,Nem hozza közzé,Nem közzéhozza,Nem hozza közzé a cikkeket,Nem közzéhozza a cikkeket,Nem azután hozza közzé a cikkeket,Nem azután közzéhozza a cikkeket,Nem azután túl hozza közzé a cikkeket,Nem azután túl közzéhozza a cikkeket
közzé,adja,Nem adja közzé,Nem közzéadja,Nem adja közzé a híreket,Nem közzéadja a híreket,Nem holnap adja közzé a híreket,Nem holnap közzéadja a híreket,Nem holnap túl adja közzé a híreket,Nem holnap túl közzéadja a híreket
közzé,közli,Nem közli közzé,Nem közzéközli,Nem közli közzé a döntést,Nem közzéközli a döntést,Nem aznap közli közzé a döntést,Nem aznap közzéközli a döntést,Nem aznap túl közli közzé a döntést,Nem aznap túl közzéközli a döntést
közzé,terjeszti,Nem terjeszti közzé,Nem közzéterjeszti,Nem terjeszti közzé a pletykát,Nem közzéterjeszti a pletykát,Nem aznap terjeszti közzé a pletykát,Nem aznap közzéterjeszti a pletykát,Nem aznap túl terjeszti közzé a pletykát,Nem aznap túl közzéterjeszti a pletykát
közzé,publikálja,Nem publikálja közzé,Nem közzépublikálja,Nem publikálja közzé a tanulmányt,Nem közzépublikálja a tanulmányt,Nem holnap publikálja közzé a tanulmányt,Nem holnap közzépublikálja a tanulmányt,Nem holnap túl publikálja közzé a tanulmányt,Nem holnap túl közzépublikálja a tanulmányt
közzé,nyújtja,Nem nyújtja közzé,Nem közzényújtja,Nem nyújtja közzé a jelentést,Nem közzényújtja a jelentést,Nem ilyenkor nyújtja közzé a jelentést,Nem ilyenkor közzényújtja a jelentést,Nem ilyenkor túl nyújtja közzé a jelentést,Nem ilyenkor túl közzényújtja a jelentést
közzé,bocsátja,Nem bocsátja közzé,Nem közzébocsátja,Nem bocsátja közzé a rendeletet,Nem közzébocsátja a rendeletet,Nem aznap bocsátja közzé a rendeletet,Nem aznap közzébocsátja a rendeletet,Nem aznap túl bocsátja közzé a rendeletet,Nem aznap túl közzébocsátja a rendeletet
közzé,helyezi,Nem helyezi közzé,Nem közzéhelyezi,Nem helyezi közzé a dokumentumot,Nem közzéhelyezi a dokumentumot,Nem aznap helyezi közzé a dokumentumot,Nem aznap közzéhelyezi a dokumentumot,Nem aznap túl helyezi közzé a dokumentumot,Nem aznap túl közzéhelyezi a dokumentumot
közzé,állítja,Nem állítja közzé,Nem közzéállítja,Nem állítja közzé a kritikát,Nem közzéállítja a kritikát,Nem azután állítja közzé a kritikát,Nem azután közzéállítja a kritikát,Nem azután túl állítja közzé a kritikát,Nem azután túl közzéállítja a kritikát
rá,néz,Nem néz rá,Nem ránéz,Nem néz rá a gyerekre,Nem ránéz a gyerekre,Nem véletlenül néz rá a gyerekre,Nem véletlenül ránéz a gyerekre,Nem véletlenül túl néz rá a gyerekre,Nem véletlenül túl ránéz a gyerekre
rá,esik,Nem esik rá,Nem ráesik,Nem esik rá a tetőre,Nem ráesik a tetőre,Nem akkoriban esik rá a tetőre,Nem akkoriban ráesik a tetőre,Nem akkoriban túl esik rá a tetőre,Nem akkoriban túl ráesik a tetőre
rá,jön,Nem jön rá,Nem rájön,Nem jön rá a megoldásra,Nem rájön a megoldásra,Nem mindjárt jön rá a megoldásra,Nem mindjárt rájön a megoldásra,Nem mindjárt túl jön rá a megoldásra,Nem mindjárt túl rájön a megoldásra
rá,szól,Nem szól rá,Nem rászól,Nem szól rá a tanulóra,Nem rászól a tanulóra,Nem mindenképpen szól rá a tanulóra,Nem mindenképpen rászól a tanulóra,Nem mindenképpen túl szól rá a tanulóra,Nem mindenképpen túl rászól a tanulóra
rá,kap,Nem kap rá,Nem rákap,Nem kap rá az ötletre,Nem rákap az ötletre,Nem amiatt kap rá az ötletre,Nem amiatt rákap az ötletre,Nem amiatt túl kap rá az ötletre,Nem amiatt túl rákap az ötletre
rá,talál,Nem talál rá,Nem rátalál,Nem talál rá a válaszra,Nem rátalál a válaszra,Nem csaknem talál rá a válaszra,Nem csaknem rátalál a válaszra,Nem csaknem túl talál rá a válaszra,Nem csaknem túl rátalál a válaszra
rá,érik,Nem érik rá,Nem ráérik,Nem érik rá az időre,Nem ráérik az időre,Nem aznap érik rá az időre,Nem aznap ráérik az időre,Nem aznap túl érik rá az időre,Nem aznap túl ráérik az időre
rá,teszi,Nem teszi rá,Nem ráteszi,Nem teszi rá a kezét,Nem ráteszi a kezét,Nem véletlenül teszi rá a kezét,Nem véletlenül ráteszi a kezét,Nem véletlenül túl teszi rá a kezét,Nem véletlenül túl ráteszi a kezét
egyet,hall,Nem hall egyet,Nem egyethall,Nem hall egyet a véleményeddel,Nem egyethall a véleményeddel,Nem akkoriban hall egyet a véleményeddel,Nem akkoriban egyethall a véleményeddel,Nem akkoriban túl hall egyet a véleményeddel,Nem akkoriban túl egyethall a véleményeddel
egyet,vesz,Nem vesz egyet,Nem egyetvesz,Nem vesz egyet a süteményből,Nem egyetvesz a süteményből,Nem aztán vesz egyet a süteményből,Nem aztán egyetvesz a süteményből,Nem aztán túl vesz egyet a süteményből,Nem aztán túl egyetvesz a süteményből
egyet,mond,Nem mond egyet,Nem egyetmond,Nem mond egyet a javaslatodra,Nem egyetmond a javaslatodra,Nem mindenképpen mond egyet a javaslatodra,Nem mindenképpen egyetmond a javaslatodra,Nem mindenképpen túl mond egyet a javaslatodra,Nem mindenképpen túl egyetmond a javaslatodra
egyet,fogad,Nem fogad egyet,Nem egyetfogad,Nem fogad egyet az érvedet,Nem egyetfogad az érvedet,Nem először fogad egyet az érvedet,Nem először egyetfogad az érvedet,Nem először túl fogad egyet az érvedet,Nem először túl egyetfogad az érvedet
egyet,ismer,Nem ismer egyet,Nem egyetismer,Nem ismer egyet a felvetésedet,Nem egyetismer a felvetésedet,Nem azonnal ismer egyet a felvetésedet,Nem azonnal egyetismer a felvetésedet,Nem azonnal túl ismer egyet a felvetésedet,Nem azonnal túl egyetismer a felvetésedet
egyet,ér,Nem ért egyet,Nem egyetért,Nem ért egyet a javaslattal,Nem egyetért a javaslattal,Nem azért ért egyet a javaslattal,Nem azért egyetért a javaslattal,Nem azért túl ért egyet a javaslattal,Nem azért túl egyetért a javaslattal
egyet,tart,Nem tart egyet,Nem egyettart,Nem tart egyet a véleményemmel,Nem egyettart a véleményemmel,Nem azonnal tart egyet a véleményemmel,Nem azonnal egyettart a véleményemmel,Nem azonnal túl tart egyet a véleményemmel,Nem azonnal túl egyettart a véleményemmel
egyet,vet,Nem vet egyet,Nem egyetvet,Nem vet egyet a szemöldökét,Nem egyetvet a szemöldökét,Nem emiatt vet egyet a szemöldökét,Nem emiatt egyetvet a szemöldökét,Nem emiatt túl vet egyet a szemöldökét,Nem emiatt túl egyetvet a szemöldökét
egyet,szól,Nem szól egyet,Nem egyetszól,Nem szól egyet a zenedarabhoz,Nem egyetszól a zenedarabhoz,Nem mindenáron szól egyet a zenedarabhoz,Nem mindenáron egyetszól a zenedarabhoz,Nem mindenáron túl szól egyet a zenedarabhoz,Nem mindenáron túl egyetszól a zenedarabhoz
vissza,adja,Nem adja vissza,Nem visszaadja,Nem adja vissza a pénzt,Nem visszaadja a pénzt,Nem hiába adja vissza a pénzt,Nem hiába visszaadja a pénzt,Nem hiába túl adja vissza a pénzt,Nem hiába túl visszaadja a pénzt
vissza,kapja,Nem kapja vissza,Nem visszakapja,Nem kapja vissza a díját,Nem visszakapja a díját,Nem mindenütt kapja vissza a díját,Nem mindenütt visszakapja a díját,Nem mindenütt túl kapja vissza a díját,Nem mindenütt túl visszakapja a díját
vissza,jön,Nem jön vissza,Nem visszajön,Nem jön vissza a barátom,Nem visszajön a barátom,Nem azért jön vissza a barátom,Nem azért visszajön a barátom,Nem azért túl jön vissza a barátom,Nem azért túl visszajön a barátom
vissza,megy,Nem megy vissza,Nem visszamegy,Nem megy vissza a postára,Nem visszamegy a postára,Nem ott megy vissza a postára,Nem ott visszamegy a postára,Nem ott túl megy vissza a postára,Nem ott túl visszamegy a postára
vissza,szól,Nem szól vissza,Nem visszaszól,Nem szól vissza a szomszédnak,Nem visszaszól a szomszédnak,Nem mindenütt szól vissza a szomszédnak,Nem mindenütt visszaszól a szomszédnak,Nem mindenütt túl szól vissza a szomszédnak,Nem mindenütt túl visszaszól a szomszédnak
vissza,veszi,Nem veszi vissza,Nem visszaveszi,Nem veszi vissza a szavait,Nem visszaveszi a szavait,Nem aztán veszi vissza a szavait,Nem aztán visszaveszi a szavait,Nem aztán túl veszi vissza a szavait,Nem aztán túl visszaveszi a szavait
vissza,keresi,Nem keresi vissza,Nem visszakeresi,Nem keresi vissza a kulcsát,Nem visszakeresi a kulcsát,Nem hiába keresi vissza a kulcsát,Nem hiába visszakeresi a kulcsát,Nem hiába túl keresi vissza a kulcsát,Nem hiába túl visszakeresi a kulcsát
előre,megy,Nem megy előre,Nem előremegy,Nem megy előre a menet,Nem előremegy a menet,Nem azután megy előre a menet,Nem azután előremegy a menet,Nem azután túl megy előre a menet,Nem azután túl előremegy a menet
előre,lép,Nem lép előre,Nem előrelép,Nem lép előre a király,Nem előrelép a király,Nem azért lép előre a király,Nem azért előrelép a király,Nem azért túl lép előre a király,Nem azért túl előrelép a király
előre,vesz,Nem vesz előre,Nem előrevesz,Nem vesz előre a csapat,Nem előrevesz a csapat,Nem amiatt vesz előre a csapat,Nem amiatt előrevesz a csapat,Nem amiatt túl vesz előre a csapat,Nem amiatt túl előrevesz a csapat
előre,ad,Nem ad előre,Nem előread,Nem ad előre a tanár,Nem előread a tanár,Nem azóta ad előre a tanár,Nem azóta előread a tanár,Nem azóta túl ad előre a tanár,Nem azóta túl előread a tanár
előre,vet,Nem vet előre,Nem előrevet,Nem vet előre a játékos,Nem előrevet a játékos,Nem aztán vet előre a játékos,Nem aztán előrevet a játékos,Nem aztán túl vet előre a játékos,Nem aztán túl előrevet a játékos
előre,jön,Nem jön előre,Nem előrejön,Nem jön előre a segítség,Nem előrejön a segítség,Nem mindig jön előre a segítség,Nem mindig előrejön a segítség,Nem mindig túl jön előre a segítség,Nem mindig túl előrejön a segítség
előre,hozza,Nem hozza előre,Nem előrehozza,Nem hozza előre a példát,Nem előrehozza a példát,Nem először hozza előre a példát,Nem először előrehozza a példát,Nem először túl hozza előre a példát,Nem először túl előrehozza a példát
előre,teszi,Nem teszi előre,Nem előreteszi,Nem teszi előre a lábát,Nem előreteszi a lábát,Nem azután teszi előre a lábát,Nem azután előreteszi a lábát,Nem azután túl teszi előre a lábát,Nem azután túl előreteszi a lábát
előre,mutatja,Nem mutatja előre,Nem előremutatja,Nem mutatja előre a célját,Nem előremutatja a célját,Nem aztán mutatja előre a célját,Nem aztán előremutatja a célját,Nem aztán túl mutatja előre a célját,Nem aztán túl előremutatja a célját
közre,játsszik,Nem játsszik közre,Nem közrejátsszik,Nem játsszik közre a rendezésben,Nem közrejátsszik a rendezésben,Nem amiatt játsszik közre a rendezésben,Nem amiatt közrejátsszik a rendezésben,Nem amiatt túl játsszik közre a rendezésben,Nem amiatt túl közrejátsszik a rendezésben
közre,lép,Nem lép közre,Nem közrelép,Nem lép közre a vita megoldásában,Nem közrelép a vita megoldásában,Nem ilyenkor lép közre a vita megoldásában,Nem ilyenkor közrelép a vita megoldásában,Nem ilyenkor túl lép közre a vita megoldásában,Nem ilyenkor túl közrelép a vita megoldásában
közre,hozza,Nem hozza közre,Nem közrehozza,Nem hozza közre a megoldáshoz,Nem közrehozza a megoldáshoz,Nem okvetlenül hozza közre a megoldáshoz,Nem okvetlenül közrehozza a megoldáshoz,Nem okvetlenül túl hozza közre a megoldáshoz,Nem okvetlenül túl közrehozza a megoldáshoz
közre,teszi,Nem teszi közre,Nem közreteszi,Nem teszi közre a munkáját,Nem közreteszi a munkáját,Nem holnap teszi közre a munkáját,Nem holnap közreteszi a munkáját,Nem holnap túl teszi közre a munkáját,Nem holnap túl közreteszi a munkáját
közre,segít,Nem segít közre,Nem közresegít,Nem segít közre a munkában,Nem közresegít a munkában,Nem este segít közre a munkában,Nem este közresegít a munkában,Nem este túl segít közre a munkában,Nem este túl közresegít a munkában
közre,avatkozik,Nem avatkozik közre,Nem közreavatkozik,Nem avatkozik közre a konfliktusba,Nem közreavatkozik a konfliktusba,Nem először avatkozik közre a konfliktusba,Nem először közreavatkozik a konfliktusba,Nem először túl avatkozik közre a konfliktusba,Nem először túl közreavatkozik a konfliktusba
közre,fog,Nem fog közre,Nem közrefog,Nem fog közre a tervezést,Nem közrefog a tervezést,Nem ezért fog közre a tervezést,Nem ezért közrefog a tervezést,Nem ezért túl fog közre a tervezést,Nem ezért túl közrefog a tervezést
közre,veszi,Nem veszi közre,Nem közreveszi,Nem veszi közre a szándékát,Nem közreveszi a szándékát,Nem ilyenkor veszi közre a szándékát,Nem ilyenkor közreveszi a szándékát,Nem ilyenkor túl veszi közre a szándékát,Nem ilyenkor túl közreveszi a szándékát
